050000	129.240.228.138	planetlab2.simula.no	EU	NO	Oslo	Oslo	http://www.simula.no	Simula Research Laboratory	59.93	10.75	diffIpFromDns
050001	168.188.48.26	datacomngn.cnu.ac.kr	AS	KR	unknown	Eumseong	http://www.cnu.ac.kr	Chungnam National University	37	127.5	noIpFromDns
050002	133.1.172.60	int-pl2.ise.eng.osaka-u.ac.jp	AS	JP	unknown	Suita-shi	http://www.ist.osaka-u.ac.jp	Osaka University	34.81	135.52	noIpFromDns
050003	133.1.172.58	int-pl1.ise.eng.osaka-u.ac.jp	AS	JP	unknown	Suita-shi	http://www.ist.osaka-u.ac.jp	Osaka University	34.81	135.52	noIpFromDns
050004	195.116.60.113	planetlab1.poznan.rd.tp.pl	EU	PL	Poznański	Koninko	http://www.tp-ir.pl/index.php?page=index〈=en	PlanetLab Colo - TP Poznan	52.33	17	noIpFromDns
050005	195.116.60.114	planetlab2.poznan.rd.tp.pl	EU	PL	Poznański	Koninko	http://www.tp-ir.pl/index.php?page=index〈=en	PlanetLab Colo - TP Poznan	52.33	17	noIpFromDns
050006	195.116.60.116	planetlab4.poznan.rd.tp.pl	EU	PL	Poznański	Koninko	http://www.tp-ir.pl/index.php?page=index〈=en	PlanetLab Colo - TP Poznan	52.33	17	noIpFromDns
050007	195.116.60.115	planetlab3.poznan.rd.tp.pl	EU	PL	Poznański	Koninko	http://www.tp-ir.pl/index.php?page=index〈=en	PlanetLab Colo - TP Poznan	52.33	17	noIpFromDns
050008	203.230.7.202	planetlab2.kreonet.net	AS	KR	unknown	Nonsan	http://www.kreonet2.re.kr	KREONET at KISTI-DAEJON	36.2	127.26	unknown
050009	152.8.246.199	csplanet2.ncat.edu	NA	US	Guilford County	Greensboro	http://www.eng.ncat.edu	North Carolina AT State University	36.07	-79.77	diffIpFromDns
050010	59.163.146.20	plab1.psgtech.ac.in	AS	IN	South West Delhi	New Delhi	http://www.ernet.in	ERNET India	28.6	77.09	unknown
050011	203.200.36.228	planet2.cdacb.ernet.in	AS	IN	Ramanagara	Byalalu	http://www.cdac.in	Centre for Development of Advanced Computing	12.59	77.35	noIpFromDns
050012	203.230.7.201	planetlab1.kreonet.net	AS	KR	unknown	Nonsan	http://www.kreonet2.re.kr	KREONET at KISTI-DAEJON	36.2	127.26	unknown
050013	168.188.48.112	planetlab1.cnu.ac.kr	AS	KR	unknown	Eumseong	http://www.cnu.ac.kr	Chungnam National University	37	127.5	noIpFromDns
050014	136.145.251.241	node1.planetlab.uprr.pr	NA	US	unknown	Suffolk	http://www.uprr.pr	University of Puerto Rico, Rio Piedras Campus	36.8093	-76.6406	unknown
050015	144.216.2.53	planetlab-2.unk.edu	NA	US	Buffalo County	Kearney	http://www.unk.edu/	University of Nebraska at Kearney	40.7	-99.1	noIpFromDns
050016	144.216.2.52	planetlab-1.unk.edu	NA	US	Buffalo County	Kearney	http://www.unk.edu/	University of Nebraska at Kearney	40.7	-99.1	noIpFromDns
050017	136.145.251.242	node2.planetlab.uprr.pr	NA	US	unknown	Suffolk	http://www.uprr.pr	University of Puerto Rico, Rio Piedras Campus	36.8093	-76.6406	unknown
050018	203.200.36.227	planet1.cdacb.ernet.in	AS	IN	Ramanagara	Byalalu	http://www.cdac.in	Centre for Development of Advanced Computing	12.59	77.35	noIpFromDns
050019	170.210.22.10	planet-2.utn.edu.ar	SA	AR	Comuna 15	Buenos Aires	http://www.utn.edu.ar	Universidad Tecnologica Nacional	-34.58	-58.48	noIpFromDns
050020	203.197.87.86	pl4.coep.org.in	AS	IN	South West Delhi	New Delhi	http://www.ernet.in	ERNET India	28.6	77.09	noIpFromDns
050021	168.188.46.148	opal.cnu.ac.kr	AS	KR	unknown	Eumseong	http://www.cnu.ac.kr	Chungnam National University	37	127.5	noIpFromDns
050022	203.197.87.90	pl3.coep.org.in	AS	IN	South West Delhi	New Delhi	http://www.ernet.in	ERNET India	28.6	77.09	noIpFromDns
